Date,Price,Open,High,Low,Vol.,Change %,R_j,A_t,σ_7,σ_14,σ_21,σ_28
2024-03-24,67211.9,64036.5,67587.8,63812.9,65590.0,4.96,,,,,,
2024-03-23,64037.8,63785.6,65972.4,63074.9,35110.0,0.4,-0.04722526814448025,-0.04722526814448025,,,,
2024-03-22,63785.5,65501.5,66633.3,62328.3,72430.0,-2.62,-0.003939860519880489,-0.05116512866436074,,,,
2024-03-21,65503.8,67860.0,68161.7,64616.1,75260.0,-3.46,0.026938724318222862,-0.024226404346137875,,,,
2024-03-20,67854.0,62046.8,68029.5,60850.9,133530.0,9.35,0.03587883451036422,0.011652430164226346,,,,
2024-03-19,62050.0,67594.1,68099.6,61560.6,148080.0,-8.2,-0.0855365932737937,-0.07388416310956736,,,,
2024-03-18,67594.1,68389.7,68920.1,66601.4,78070.0,-1.17,0.08934891216760676,0.015464749058039406,,,,
2024-03-17,68391.2,65314.2,68857.7,64605.5,66070.0,4.71,0.011792449340992661,0.027257198399032068,0.05714221503203947,,,
2024-03-16,65314.2,69456.5,70037.0,64971.0,75820.0,-5.97,-0.04499116845442108,-0.017733970055389014,0.05681441136820707,,,
2024-03-15,69463.7,71387.1,72398.1,65765.6,148590.0,-2.69,0.06353136071482157,0.04579739065943256,0.0607853040286159,,,
2024-03-14,71387.5,73066.7,73740.9,68717.2,109430.0,-2.3,0.027695040719109443,0.073492431378542,0.06081310870429223,,,
2024-03-13,73066.3,71461.9,73623.5,71338.4,77180.0,2.23,0.023516722115216382,0.09700915349375838,0.06024735813258513,,,
2024-03-12,71470.2,72099.1,72916.7,68845.6,105090.0,-0.87,-0.02184454392791213,0.07516460956584625,0.04619941649739294,,,
2024-03-11,72099.1,68964.7,72771.5,67452.8,114720.0,4.54,0.008799471667912062,0.08396408123375831,0.03512800126395163,,,
2024-03-10,68964.8,68360.7,69905.3,68165.0,53490.0,0.88,-0.04347210991538042,0.040491971318377895,0.04041432693428278,0.047559960736862354,,
2024-03-09,68366.5,68178.5,68576.9,67923.9,30710.0,0.29,-0.008675440224578335,0.03181653109379956,0.035414774198607134,0.04550675541943377,,
2024-03-08,68172.0,66854.4,69904.0,66170.7,112670.0,1.97,-0.002844960616676273,0.028971570477123287,0.025190618865332078,0.04548995211116276,,
2024-03-07,66855.3,66074.6,67985.5,65602.6,77470.0,1.17,-0.019314381270903014,0.009657189206220274,0.021877475966594707,0.045510281670157415,,
2024-03-06,66080.4,63794.7,67604.9,62848.7,117910.0,3.59,-0.011590704102741434,-0.0019335148965211602,0.01651597352995849,0.04458465681548588,,
2024-03-05,63792.6,68273.1,69063.1,60138.2,207600.0,-6.56,-0.03462146112916986,-0.03655497602569102,0.018136562749582686,0.03886572405082362,,
2024-03-04,68270.1,63135.8,68495.1,62746.8,130860.00000000001,8.13,0.07018839175703784,0.033633415731346816,0.03706693222658346,0.03579451574861524,,
